🦄电信专线「多线路」,#genre#
河南卫视,http://183.92.4.163:4000/udp/228.0.0.230:6108
四川卫视,http://183.92.4.163:4000/udp/228.0.0.231:6108
河北卫视,http://183.92.4.163:4000/udp/228.0.0.168:7168

广东卫视,http://dms.yryyj.site:8188/udp/239.76.245.189:1234
东南卫视,http://dms.yryyj.site:8188/udp/239.76.245.190:1234
安徽卫视,http://dms.yryyj.site:8188/udp/239.76.245.196:1234
辽宁卫视,http://dms.yryyj.site:8188/udp/239.76.245.197:1234
江西卫视,http://dms.yryyj.site:8188/udp/239.76.245.225:1234
河北卫视,http://dms.yryyj.site:8188/udp/239.76.245.199:1234
贵州卫视,http://dms.yryyj.site:8188/udp/239.76.245.198:1234
江苏卫视,http://dms.yryyj.site:8188/udp/239.76.246.181:1234
东方卫视,http://dms.yryyj.site:8188/udp/239.76.246.186:1234
浙江卫视,http://dms.yryyj.site:8188/udp/239.76.246.182:1234
北京卫视,http://dms.yryyj.site:8188/udp/239.76.246.184:1234
天津卫视,http://dms.yryyj.site:8188/udp/239.76.246.185:1234
深圳卫视,http://dms.yryyj.site:8188/udp/239.76.246.188:1234
湖北卫视,http://dms.yryyj.site:8188/udp/239.76.246.193:1234
山东卫视,http://dms.yryyj.site:8188/udp/239.76.246.195:1234
黑龙江卫视,http://dms.yryyj.site:8188/udp/239.76.246.200:1234
吉林卫视,http://dms.yryyj.site:8188/udp/239.76.246.201:1234
河南卫视,http://dms.yryyj.site:8188/udp/239.76.246.202:1234
海南卫视,http://dms.yryyj.site:8188/udp/239.76.246.203:1234
四川卫视,http://dms.yryyj.site:8188/udp/239.76.246.91:1234
重庆卫视,http://dms.yryyj.site:8188/udp/239.76.246.92:1234
甘肃卫视,http://dms.yryyj.site:8188/udp/239.76.246.94:1234
湖南卫视,http://dms.yryyj.site:8188/udp/239.76.246.101:1234

四川文化旅游,http://dsk.cc/sctv/sctv.php?id=scwhly
四川经济,http://dsk.cc/sctv/sctv.php?id=scjj
四川新闻,http://dsk.cc/sctv/sctv.php?id=scxw
四川影视文艺,http://dsk.cc/sctv/sctv.php?id=scyswy
四川星空购物,http://dsk.cc/sctv/sctv.php?id=scxkgw
四川妇女儿童h,ttp://dsk.cc/sctv/sctv.php?id=scfnet
四川乡村,http://dsk.cc/sctv/sctv.php?id=scxc
四川科教,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8
